Epoch: 47 | train_loss: 0.1414 | train_acc: 0.9525 | train_precision: 0.9581 | train_recall: 0.9529 | train_f1: 0.9554 | test_loss: 0.3619 | test_acc: 0.8906 | test_precision: 0.8390 | test_recall: 0.8028 | test_f1: 0.8001
Epoch: 48 | train_loss: 0.1409 | train_acc: 0.9529 | train_precision: 0.9556 | train_recall: 0.9527 | train_f1: 0.9541 | test_loss: 0.3854 | test_acc: 0.8950 | test_precision: 0.8838 | test_recall: 0.7811 | test_f1: 0.8167
Epoch: 49 | train_loss: 0.1402 | train_acc: 0.9531 | train_precision: 0.9584 | train_recall: 0.9534 | train_f1: 0.9558 | test_loss: 0.3832 | test_acc: 0.8942 | test_precision: 0.8845 | test_recall: 0.7767 | test_f1: 0.8201
Epoch: 50 | train_loss: 0.1491 | train_acc: 0.9477 | train_precision: 0.9507 | train_recall: 0.9480 | train_f1: 0.9494 | test_loss: 0.4596 | test_acc: 0.8842 | test_precision: 0.8913 | test_recall: 0.7411 | test_f1: 0.7956
Epoch: 51 | train_loss: 0.1352 | train_acc: 0.9539 | train_precision: 0.9621 | train_recall: 0.9540 | train_f1: 0.9579 | test_loss: 0.4034 | test_acc: 0.8755 | test_precision: 0.7934 | test_recall: 0.7940 | test_f1: 0.7762
Epoch: 52 | train_loss: 0.1401 | train_acc: 0.9543 | train_precision: 0.9591 | train_recall: 0.9521 | train_f1: 0.9555 | test_loss: 0.4670 | test_acc: 0.8771 | test_precision: 0.8712 | test_recall: 0.7382 | test_f1: 0.7862
Epoch: 53 | train_loss: 0.1547 | train_acc: 0.9455 | train_precision: 0.9496 | train_recall: 0.9456 | train_f1: 0.9476 | test_loss: 0.3659 | test_acc: 0.9056 | test_precision: 0.9091 | test_recall: 0.8236 | test_f1: 0.8563
Epoch: 54 | train_loss: 0.1518 | train_acc: 0.9487 | train_precision: 0.9531 | train_recall: 0.9468 | train_f1: 0.9499 | test_loss: 0.3224 | test_acc: 0.9088 | test_precision: 0.8929 | test_recall: 0.8060 | test_f1: 0.8389
Epoch: 55 | train_loss: 0.1286 | train_acc: 0.9581 | train_precision: 0.9642 | train_recall: 0.9583 | train_f1: 0.9612 | test_loss: 0.4068 | test_acc: 0.8960 | test_precision: 0.9155 | test_recall: 0.7830 | test_f1: 0.8365
Epoch: 56 | train_loss: 0.1310 | train_acc: 0.9563 | train_precision: 0.9616 | train_recall: 0.9541 | train_f1: 0.9578 | test_loss: 0.4181 | test_acc: 0.8910 | test_precision: 0.8250 | test_recall: 0.7614 | test_f1: 0.7794
Epoch: 57 | train_loss: 0.1220 | train_acc: 0.9571 | train_precision: 0.9625 | train_recall: 0.9563 | train_f1: 0.9594 | test_loss: 0.4121 | test_acc: 0.8888 | test_precision: 0.8800 | test_recall: 0.8063 | test_f1: 0.8310
Epoch: 58 | train_loss: 0.1376 | train_acc: 0.9537 | train_precision: 0.9591 | train_recall: 0.9537 | train_f1: 0.9563 | test_loss: 0.3986 | test_acc: 0.9032 | test_precision: 0.8698 | test_recall: 0.7950 | test_f1: 0.8128
Epoch: 59 | train_loss: 0.1315 | train_acc: 0.9555 | train_precision: 0.9614 | train_recall: 0.9549 | train_f1: 0.9581 | test_loss: 0.4774 | test_acc: 0.8503 | test_precision: 0.8189 | test_recall: 0.7144 | test_f1: 0.7346
Epoch: 60 | train_loss: 0.1556 | train_acc: 0.9467 | train_precision: 0.9542 | train_recall: 0.9475 | train_f1: 0.9508 | test_loss: 0.3353 | test_acc: 0.9038 | test_precision: 0.9011 | test_recall: 0.7819 | test_f1: 0.8214
Total training time: 7441.353 seconds
